Date,Item Name,Tonnage
2026-03-02,METALLIC SCRAP,8.02
2026-01-27,METALLIC SCRAP,15.78
2026-01-31,METALLIC SCRAP,3.95
2026-01-31,METALLIC SCRAP,1.58
2026-01-31,METALLIC SCRAP,13.57
2026-01-29,METALLIC SCRAP,2.5
2026-01-30,METALLIC SCRAP,2.9
2026-01-28,METALLIC SCRAP,17.2
2026-01-29,METALLIC SCRAP,10.7
2026-01-29,METALLIC SCRAP,6.79
